0,0.061556
1,0.0028102
2,0.0048592
3,0.0028102
4,0.0048592
5,0.0028102
6,0.0048592
7,0.0028102
8,0.0048592
9,0.0048592
10,0.0048592
11,0.0048592
12,0.0048592
13,0.0048592
14,0.0068853
15,0.0048592
16,0.009756
17,0.011328
18,0.013824
19,0.012514
20,0.01687
21,0.018636
22,0.025124
23,0.023903
24,0.032225
25,0.037416
26,0.050441
27,0.058567
28,0.071472
29,0.078955
30,0.091674
31,0.096353
32,0.082985
33,0.068001
34,0.037416
35,0.020587
36,0.0088314
37,0.0024203
38,0.00080945
39,0.00080945
40,0.00080945
