"xod","yod","loc","size","jmangle","jmslope","region"
-9,21,0,3.44,275.42,0.049736,4
-3,21,1,3.44,276.12,-0.16564,4
3,21,2,3.44,281.07,-0.54901,4
9,21,3,3.44,292.98,-1.2362,4
-15,15,4,3.44,267.3,0.47015,4
-9,15,5,3.44,262.35,0.31719,2
-3,15,6,3.44,258.66,0.086584,2
3,15,7,3.44,260.79,-0.30793,2
9,15,8,3.44,276.44,-1.0121,4
15,15,9,3.44,301.5,-2.6878,4
-21,9,10,3.44,264.45,0.92468,2
-15,9,11,3.44,256.15,0.82187,2
-9,9,12,3.44,245.36,0.60966,2
-3,9,13,3.44,236.06,0.2899,2
3,9,14,3.44,234.15,-0.1717,2
9,9,15,3.44,248.93,-0.92313,2
15,9,16,3.44,290,-2.9955,4
21,9,17,3.44,323.53,1.8333,6
-27,3,18,3.44,265.41,1.4608,2
-21,3,19,3.44,257.09,1.4596,2
-15,3,20,3.44,244.05,1.3157,2
-9,3,21,3.44,227.87,0.97284,2
-3,3,22,3.44,213.72,0.56475,2
3,3,23,3.44,205.37,0.096369,1
9,3,24,3.44,214.26,-0.59314,1
15,3,25,3.44,272.31,-5.4612,0
21,3,26,3.44,331.22,0.83333,6
-27,-3,27,3.44,109.3,-1.0493,3
-21,-3,28,3.44,111.96,-1.1552,3
-15,-3,29,3.44,115.89,-1.3362,3
-9,-3,30,3.44,124.36,-1.6662,3
-3,-3,31,3.44,151.01,-1.0162,1
3,-3,32,3.44,162.98,-0.091919,1
9,-3,33,3.44,159.14,0.21006,1
15,-3,34,3.44,104.15,0,0
21,-3,35,3.44,351.25,-0.16667,6
-21,-9,36,3.44,108.77,-0.61638,3
-15,-9,37,3.44,111.39,-0.60611,3
-9,-9,38,3.44,115.35,-0.59242,3
-3,-9,39,3.44,124.03,-0.53297,3
3,-9,40,3.44,133.9,0.0034386,3
9,-9,41,3.44,121.19,0.66288,3
15,-9,42,3.44,77.319,3.5643,5
21,-9,43,3.44,25.733,-1.1667,6
-15,-15,44,3.44,105.77,-0.17646,3
-9,-15,45,3.44,106.59,-0.043674,3
-3,-15,46,3.44,105.87,0.17845,3
3,-15,47,3.44,100.32,0.50826,3
9,-15,48,3.44,87.957,1.0387,5
15,-15,49,3.44,67.851,3.3051,5
-9,-21,50,3.44,97.689,0.26968,5
-3,-21,51,3.44,93.879,0.50397,5
3,-21,52,3.44,86.552,0.79301,5
9,-21,53,3.44,75.875,1.2754,5
