"xod","yod","loc","size","jmangle","jmslope","region"
-30,42,0,0.43,NA,NA,NA
-18,42,1,0.43,NA,NA,NA
-6,42,2,0.43,NA,NA,NA
6,42,3,0.43,NA,NA,NA
18,42,4,0.43,NA,NA,NA
30,42,5,0.43,NA,NA,NA
-54,30,6,0.43,NA,NA,NA
-42,30,7,0.43,NA,NA,NA
-30,30,8,0.43,NA,NA,NA
-18,30,9,0.43,NA,NA,NA
-6,30,10,0.43,NA,NA,NA
6,30,11,0.43,NA,NA,NA
18,30,12,0.43,NA,NA,NA
30,30,13,0.43,NA,NA,NA
42,30,14,0.43,NA,NA,NA
54,30,15,0.43,NA,NA,NA
-54,18,16,0.43,NA,NA,NA
-42,18,17,0.43,NA,NA,NA
-30,18,18,0.43,NA,NA,NA
30,18,19,0.43,NA,NA,NA
42,18,20,0.43,NA,NA,NA
54,18,21,0.43,NA,NA,NA
-54,6,22,0.43,NA,NA,NA
-42,6,23,0.43,NA,NA,NA
-30,6,24,0.43,NA,NA,NA
30,6,25,0.43,NA,NA,NA
42,6,26,0.43,NA,NA,NA
54,6,27,0.43,NA,NA,NA
-54,-6,28,0.43,NA,NA,NA
-42,-6,29,0.43,NA,NA,NA
-30,-6,30,0.43,NA,NA,NA
30,-6,31,0.43,NA,NA,NA
42,-6,32,0.43,NA,NA,NA
54,-6,33,0.43,NA,NA,NA
-54,-18,34,0.43,NA,NA,NA
-42,-18,35,0.43,NA,NA,NA
-30,-18,36,0.43,NA,NA,NA
30,-18,37,0.43,NA,NA,NA
42,-18,38,0.43,NA,NA,NA
54,-18,39,0.43,NA,NA,NA
-42,-30,40,0.43,NA,NA,NA
-30,-30,41,0.43,NA,NA,NA
-18,-30,42,0.43,NA,NA,NA
-6,-30,43,0.43,NA,NA,NA
6,-30,44,0.43,NA,NA,NA
18,-30,45,0.43,NA,NA,NA
30,-30,46,0.43,NA,NA,NA
42,-30,47,0.43,NA,NA,NA
-42,-42,48,0.43,NA,NA,NA
-30,-42,49,0.43,NA,NA,NA
-18,-42,50,0.43,NA,NA,NA
-6,-42,51,0.43,NA,NA,NA
6,-42,52,0.43,NA,NA,NA
18,-42,53,0.43,NA,NA,NA
30,-42,54,0.43,NA,NA,NA
42,-42,55,0.43,NA,NA,NA
-18,-54,56,0.43,NA,NA,NA
-6,-54,57,0.43,NA,NA,NA
6,-54,58,0.43,NA,NA,NA
18,-54,59,0.43,NA,NA,NA
