"xod","yod","loc","size","jmangle","jmslope","region"
-9,21,0,0.43,275.42,0.049736,4
-3,21,1,0.43,276.12,-0.16564,4
3,21,2,0.43,281.07,-0.54901,4
9,21,3,0.43,292.98,-1.2362,4
-15,15,4,0.43,267.3,0.47015,4
-9,15,5,0.43,262.35,0.31719,2
-3,15,6,0.43,258.66,0.086584,2
3,15,7,0.43,260.79,-0.30793,2
9,15,8,0.43,276.44,-1.0121,4
15,15,9,0.43,301.5,-2.6878,4
-21,9,10,0.43,264.45,0.92468,2
-15,9,11,0.43,256.15,0.82187,2
-9,9,12,0.43,245.36,0.60966,2
-3,9,13,0.43,236.06,0.2899,2
3,9,14,0.43,234.15,-0.1717,2
9,9,15,0.43,248.93,-0.92313,2
15,9,16,0.43,290,-2.9955,4
21,9,17,0.43,323.53,1.8333,6
-27,3,18,0.43,265.41,1.4608,2
-21,3,19,0.43,257.09,1.4596,2
-15,3,20,0.43,244.05,1.3157,2
-9,3,21,0.43,227.87,0.97284,2
-3,3,22,0.43,213.72,0.56475,2
3,3,23,0.43,205.37,0.096369,1
9,3,24,0.43,214.26,-0.59314,1
15,3,25,0.43,272.31,-5.4612,0
21,3,26,0.43,331.22,0.83333,6
-27,-3,27,0.43,109.3,-1.0493,3
-21,-3,28,0.43,111.96,-1.1552,3
-15,-3,29,0.43,115.89,-1.3362,3
-9,-3,30,0.43,124.36,-1.6662,3
-3,-3,31,0.43,151.01,-1.0162,1
3,-3,32,0.43,162.98,-0.091919,1
9,-3,33,0.43,159.14,0.21006,1
15,-3,34,0.43,104.15,0,0
21,-3,35,0.43,351.25,-0.16667,6
-21,-9,36,0.43,108.77,-0.61638,3
-15,-9,37,0.43,111.39,-0.60611,3
-9,-9,38,0.43,115.35,-0.59242,3
-3,-9,39,0.43,124.03,-0.53297,3
3,-9,40,0.43,133.9,0.0034386,3
9,-9,41,0.43,121.19,0.66288,3
15,-9,42,0.43,77.319,3.5643,5
21,-9,43,0.43,25.733,-1.1667,6
-15,-15,44,0.43,105.77,-0.17646,3
-9,-15,45,0.43,106.59,-0.043674,3
-3,-15,46,0.43,105.87,0.17845,3
3,-15,47,0.43,100.32,0.50826,3
9,-15,48,0.43,87.957,1.0387,5
15,-15,49,0.43,67.851,3.3051,5
-9,-21,50,0.43,97.689,0.26968,5
-3,-21,51,0.43,93.879,0.50397,5
3,-21,52,0.43,86.552,0.79301,5
9,-21,53,0.43,75.875,1.2754,5
