"xod","yod","loc","size","jmangle","jmslope","region"
-1,9,0,3.44,234.25,0.16579,0
1,9,1,3.44,233.46,0.01367,0
-5,7,2,3.44,231.53,0.48764,0
-3,7,3,3.44,228.43,0.36378,0
-1,7,4,3.44,226.09,0.23388,0
1,7,5,3.44,224.73,0.07819,0
3,7,6,3.44,224.87,-0.10927,0
5,7,7,3.44,226.95,-0.31932,0
-7,5,8,3.44,228.84,0.71111,0
-5,5,9,3.44,224.62,0.5838,0
-3,5,10,3.44,220.95,0.45319,0
-1,5,11,3.44,217.98,0.31953,0
1,5,12,3.44,215.92,0.16335,0
3,5,13,3.44,215.26,-0.021478,0
5,5,14,3.44,216.53,-0.22561,0
7,5,15,3.44,220.41,-0.46628,0
-7,3,16,3.44,222.74,0.83814,0
-5,3,17,3.44,217.99,0.70144,0
-3,3,18,3.44,213.72,0.56475,0
-1,3,19,3.44,210.03,0.4287,0
1,3,20,3.44,207.09,0.27445,0
3,3,21,3.44,205.37,0.096369,0
5,3,22,3.44,205.36,-0.094465,0
7,3,23,3.44,207.87,-0.31245,0
-9,1,24,3.44,222.64,1.1447,0
-7,1,25,3.44,217.03,0.9962,0
-5,1,26,3.44,211.75,0.84922,0
-3,1,27,3.44,206.84,0.70608,0
-1,1,28,3.44,202.37,0.56797,0
1,1,29,3.44,198.44,0.41691,0
3,1,30,3.44,195.43,0.24811,0
5,1,31,3.44,193.71,0.075452,0
7,1,32,3.44,193.95,-0.10974,0
9,1,33,3.44,197.51,-0.33081,0
-9,-1,34,3.44,127.29,-2.3281,0
-7,-1,35,3.44,136.42,-2.3174,0
-5,-1,36,3.44,148.48,-1.7967,0
-3,-1,37,3.44,158.33,-1.2158,0
-1,-1,38,3.44,165.29,-0.75096,0
1,-1,39,3.44,169.83,-0.42533,0
3,-1,40,3.44,172.68,-0.22671,0
5,-1,41,3.44,174.41,-0.12002,0
7,-1,42,3.44,175.67,-0.088346,0
9,-1,43,3.44,177.3,-0.11856,0
-7,-3,44,3.44,131.21,-1.7177,0
-5,-3,45,3.44,141.65,-1.4539,0
-3,-3,46,3.44,151.01,-1.0162,0
-1,-3,47,3.44,157.44,-0.61564,0
1,-3,48,3.44,161.22,-0.30685,0
3,-3,49,3.44,162.98,-0.091919,0
5,-3,50,3.44,163.1,0.054773,0
7,-3,51,3.44,161.82,0.14757,0
-7,-5,52,3.44,126.09,-1.2592,0
-5,-5,53,3.44,133.99,-1.1775,0
-3,-5,54,3.44,142.77,-0.88058,0
-1,-5,55,3.44,148.97,-0.53581,0
1,-5,56,3.44,152.34,-0.23927,0
3,-5,57,3.44,153.42,-0.0045797,0
5,-5,58,3.44,152.48,0.18812,0
7,-5,59,3.44,149.55,0.35151,0
-5,-7,60,3.44,126.43,-0.88238,0
-3,-7,61,3.44,133.53,-0.75085,0
-1,-7,62,3.44,139.7,-0.48832,0
1,-7,63,3.44,143.08,-0.21677,0
3,-7,64,3.44,143.98,0.026589,0
5,-7,65,3.44,142.62,0.25586,0
-1,-9,66,3.44,129.01,-0.41122,0
1,-9,67,3.44,132.68,-0.21377,0
